time,wx,wy,wz,turnRate,currAngle
10098,-0.65,2.01,1.54,-1.23,-0.00
10102,-0.65,2.01,1.54,-0.95,-0.01
10116,-0.65,2.01,1.54,-0.70,-0.02
10130,0.10,-0.22,-3.23,-0.31,-0.02
10143,-0.91,-0.44,-3.03,0.02,-0.02
10158,-0.81,0.26,-3.06,0.33,-0.02
10171,0.22,0.62,-2.91,0.59,-0.01
10184,0.06,0.72,-2.80,0.81,0.00
10198,-0.96,0.59,-2.87,1.01,0.01
10211,0.30,0.26,-2.74,1.19,0.03
10224,-0.35,20.23,6.02,1.67,0.05
10237,0.21,17.09,5.45,2.05,0.08
10251,0.21,17.09,5.45,2.39,0.11
10264,0.21,17.09,5.45,2.69,0.15
10277,-0.77,14.50,5.02,2.93,0.19
10291,-0.67,0.57,1.52,2.79,0.22
10304,-0.07,0.59,1.46,2.65,0.26
10317,0.29,0.25,1.47,2.54,0.29
10331,0.68,0.53,1.39,2.42,0.32
10343,-0.66,0.73,1.21,2.30,0.35
10357,1.57,-18.00,-9.30,3.00,0.39
10371,-0.37,-13.67,-8.30,3.53,0.44
10384,0.10,-12.62,-7.70,3.95,0.50
10397,0.10,-12.62,-7.70,4.32,0.55
10412,0.10,-12.62,-7.70,4.66,0.62
10425,0.62,-11.06,-7.25,4.92,0.68
10438,0.04,0.25,-4.11,4.84,0.75
10451,0.30,-0.31,-3.92,4.75,0.81
10465,-0.25,1.10,-3.75,4.65,0.88
10478,-0.09,15.64,3.86,4.57,0.94
10492,0.45,11.87,3.08,4.42,1.00
10506,0.44,9.14,2.55,4.23,1.05
10518,-0.33,6.81,1.86,4.00,1.11
10531,0.25,6.59,1.76,3.77,1.16
10545,0.25,6.59,1.76,3.57,1.20
10558,0.25,6.59,1.76,3.39,1.25
10571,0.25,6.59,1.76,3.23,1.29
10584,0.49,-0.35,0.26,2.93,1.33
10597,-1.32,-0.42,0.24,2.66,1.36
10610,1.23,-13.34,-7.31,3.13,1.40
10625,-0.30,-9.09,-6.18,3.43,1.45
10638,0.19,-7.74,-5.67,3.66,1.50
10651,1.25,-6.05,-5.05,3.80,1.55
10664,0.44,-3.65,-4.59,3.87,1.60
10678,0.20,-2.49,-4.25,3.91,1.66
10691,0.20,-2.49,-4.25,3.95,1.71
10705,0.20,-2.49,-4.25,3.98,1.76
10719,0.20,-2.49,-4.25,4.00,1.82
10732,0.28,0.37,-0.67,3.67,1.87
10745,0.17,1.63,-0.58,3.36,1.91
10759,0.24,0.65,-0.68,3.09,1.95
10772,0.30,0.99,-0.53,2.84,1.99
10785,0.20,0.34,-0.65,2.62,2.02
10799,0.47,0.75,-0.60,2.42,2.06
10812,0.20,0.77,-0.70,2.24,2.09
10824,0.06,-0.11,-0.76,2.10,2.11
10839,-0.31,-0.03,-0.81,1.97,2.14
10852,-0.31,-0.03,-0.81,1.85,2.16
10865,-0.31,-0.03,-0.81,1.75,2.19
10878,1.17,-11.42,-5.83,2.15,2.22
10893,1.07,1.04,-3.08,2.25,2.25
10906,-1.15,1.33,-3.06,2.33,2.28
10919,-0.12,0.70,-2.94,2.39,2.31
10933,-0.18,1.32,-2.89,2.44,2.34
10946,-0.45,0.39,-3.06,2.50,2.38
10959,-0.04,0.03,-2.95,2.55,2.41
10973,1.15,0.53,-2.75,2.57,2.45
10986,1.59,44.26,18.95,4.21,2.50
10999,1.59,44.26,18.95,5.68,2.58
11013,1.59,44.26,18.95,7.01,2.67
11027,1.32,39.60,17.86,8.09,2.78
11040,-1.36,0.83,8.10,8.09,2.89
